UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0141408E,UNIVERSITE DE CAEN,4513 *,,26-I-1,MCF,Non,66,,,01/09/2021,25/02/2021,30/03/2021,Physiologie animale.Le.la MCF recruté.e assurera l¿essentiel de son service à l¿UFR des Sciences dans les formations du département de Biologie et Sciences de la Terre.,CAEN,
0211237F,UNIVERSITE DE DIJON,4544 *,E000000539,26-I-1,MCF,Non,66,65,,01/09/2021,25/02/2021,30/03/2021,Physiologie et signalisation cellulaire des interactions plantes- microorganismes,DIJON,S
0383546Y,UNIVERSITE GRENOBLE ALPES,73 *,38848,26-I-1,MCF,Non,66,67,70,01/09/2021,25/02/2021,30/03/2021,"Biologie, sciences de la vie et de la terre (SVT) et enseignement",Grenoble,
0542493S,UNIVERSITE DE LORRAINE,1359 *,66MCF1492,26-I-1,MCF,Non,66,,,01/09/2021,25/02/2021,30/03/2021,Physiologie moléculaire,NANCY,
0673021V,UNIVERSITE DE STRASBOURG,4715 *,,26-I-1,MCF,Non,66,,,01/09/2021,25/02/2021,30/03/2021,Biologie Végétale,Strasbourg,
0755890V,UNIVERSITE SORBONNE UNIVERSITE,294,66MCF2303,26-I-1,MCF,Non,66,,,01/09/2021,29/01/2021,05/03/2021,Physiologie Animale,Campus Pierre et Marie Curie,
0761904G,UNIVERSITE DE ROUEN,4539 *,,26-I-1,MCF,Non,66,,,01/09/2021,25/02/2021,30/03/2021,Enseignement : Physiologie de la NutritionRecherche : Etude des adaptations dynamiques et métaboliques du microbiote intestinal,MARTAINVILLE / EVREUX,
0801344B,UNIVERSITE D'AMIENS,4553 *,,26-I-1,MCF,Non,66,64,,01/09/2021,25/02/2021,30/03/2021,"BIOCHIMIE, BIOLOGIE ET PHYSIOLOGIE VEGETALES",POLE UNIVERSITAIRE SAINT LEU,
0931238R,UNIVERSITE PARIS 13,4410 *,1076,26-I-1,MCF,Non,66,68,86,01/09/2021,25/02/2021,30/03/2021,Nutrition/Epidémiologie/Biostatistiques,Bobigny,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4813 *,CREA/IMRB,26-I-1,MCF,Non,66,,,01/09/2021,25/02/2021,30/03/2021,Métabolisme cellulaire et physiologie du tissu adipeux,Campus de Senart,
9740478B,UNIVERSITE DE LA REUNION,4322,,26-I-1,MCF,Non,66,65,,01/09/2021,26/02/2021,30/03/2021,Biologie cellulaire - Physiologie,SITES DU TAMPON ET DE TERRE SAINTE,
0134009M,UNIVERSITE AIX-MARSEILLE,953 *,1299,26-I-1,MCF,Non,67,,,01/09/2021,25/02/2021,30/03/2021,Comprendre l'impact des changements environnementaux sur les mécanismes du développement chez les Métazoaires marins et leurs conséquences évolutives par une approche intégrative Eco-Evo-Devo.,AIX EN PROVENCE-MARSEILLE,
0171463Y,UNIVERSITE DE LA ROCHELLE,4172 *,,26-I-1,MCF,Non,67,68,,01/09/2021,25/02/2021,30/03/2021,Ecologie fonctionnelle des microorganismes aquatiques.,La Rochelle Universite,
