"Périmètre";"Périmètre.ID";"Périmètre.label";"Année";"Qualification.Candidats.PR";"Qualification.Candidats.PR.femmes";"Qualification.Qualifiés.PR";"Qualification.Qualifiés.PR.femmes";"Qualification.Candidats.MCF";"Qualification.Candidats.MCF.femmes";"Qualification.Qualifiés.MCF";"Qualification.Qualifiés.MCF.femmes";"Concours.Postes.PR";"Concours.Candidats.PR";"Concours.Candidats.PR.femmes";"Concours.Recrutés.PR";"Concours.Recrutés.PR.femmes";"Concours.Postes.MCF";"Concours.Candidats.MCF";"Concours.Candidats.MCF.femmes";"Concours.Recrutés.MCF";"Concours.Recrutés.MCF.femmes";"Effectif.MCF";"Effectif.PR";"Effectif.ETU";"Effectif.EC";"Contexte.TauxEncadrement";"Contexte.EvolRéelle";"Contexte.EvolNécessaire";"kpi.MCF.TauxTension";"kpi.MCF.TauxRéussite";"kpi.MCF.SansPoste";"kpi.MCF.TauxSélection";"kpi.MCF.TauxSélection.Qualification";"kpi.MCF.TauxSélection.Concours";"kpi.MCF.TauxSélection.QualifVsConcours";"kpi.PériodeRenouvellement"
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2012";662;0,411;473;0,427;3445;56,4;2258;0,587;428;849;0,425;368;0,424;630;4557;0,567;601;0,589;10663;4425;361405;15088;4,17481772526667;193;5239,90581740246;7,23333333333333;0,131885012069344;3956;0,174455732946299;0,65544267053701;0,266164747564216;0,582630098452883;25,1048252911814
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2013";629;0,458;454;0,498;3508;56;2380;0,563;351;810;0,427;310;0,426;635;4727;0,564;602;0,615;10647;4418;370859;15065;4,06219075174123;170;5766,61518666332;7,44409448818898;0,127353501163529;4125;0,171607753705815;0,678449258836944;0,252941176470588;0,611837577426015;25,0249169435216
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2014";672;0,481;500;0,498;3498;56,4;2373;0,566;326;792;0,473;285;0,484;568;4861;0,557;545;0,528;10546;4368;390584;14914;3,81838477766626;19;6865,55133101181;8,5580985915493;0,112116848385106;4316;0,155803316180675;0,678387650085763;0,229667088074168;0,619031493396546;27,3651376146789
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2015";638;0,464;478;0,481;3369;55,6;2322;0,569;322;816;0,431;288;0,438;537;4785;0,558;515;0,532;10624;4403;398161;15027;3,77410143133054;132;7287,6876638751;8,91061452513966;0,107628004179728;4270;0,152864351439596;0,689225289403384;0,221791559000861;0,633146461107218;29,178640776699
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2016";638;0,505;475;0,516;3377;56,1;2391;0,571;328;811;0,459;291;0,495;549;4836;0,573;528;0,642;10377;4278;423435;14655;3,46097984342343;-240;8695,77446297591;8,80874316939891;0,109181141439206;4308;0,156351791530945;0,708024874148653;0,220828105395232;0,653913653913654;27,7556818181818
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2017";600;0,493;443;0,497;3447;56,6;2397;0,575;282;760;0,468;254;0,512;509;4770;0,57;486;0,566;10387;4236;440306;14623;3,32109941722348;-272;9635,70610765542;9,3713163064833;0,10188679245283;4284;0,140992167101828;0,69538729329852;0,202753441802253;0,645390070921986;30,0884773662551
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2018";695;0,485;529;0,493;3495;56,3;2414;0,574;243;766;0,49;222;0,482;519;4578;0,565;480;0,55;10389;4260;447224;14649;3,27553977425183;-246;10021,1276664186;8,82080924855491;0,104849279161206;4098;0,137339055793991;0,690701001430615;0,19884009942005;0,641459369817579;30,51875
"Grande discipline";"LLASHS";"Lettres et sciences humaines";"2019";588;0,481;448;0,493;3573;56,1;2482;0,572;226;724;0,486;209;0,44;435;4416;0,555;413;0,593;NA;NA;459380;NA;NA;NA;10698,373180776;10,151724137931;0,0935235507246377;4003;0,115589140778058;0,694654352085083;0,166398066075745;0,654746835443038;NA
"Grande discipline";"Pharma";"Pharmacie";"2009";62,8368139873725;0,436;25;0,6;513,509574371556;56,7;378;0,556;22;34;0,324;19;0,474;70;382;0,521;66;0,606;1228;584;22796;1812;7,94876294086682;0;0;5,45714285714286;0,172774869109948;316;0,128527301717348;0,736110909835721;0,174603174603175;0,697191787322419;27,4545454545455
"Grande discipline";"Pharma";"Pharmacie";"2010";37,3288003885381;0,45;15;0,467;366,676662900384;59,3;236;0,627;21;36;0,417;17;0,471;62;328;0,555;58;0,569;1215;582;23277;1797;7,72006701894574;-15;38,2335497455693;5,29032258064516;0,176829268292683;270;0,158177505874589;0,643618817006946;0,245762711864407;0,576655190993315;30,9827586206897
"Grande discipline";"Pharma";"Pharmacie";"2011";38;0,474;18;0,444;401;56,1;297;0,586;23;49;0,429;21;0,571;50;379;0,557;49;0,755;1231;582;23024;1813;7,87439193884642;1;18,1231795051761;7,58;0,129287598944591;330;0,122194513715711;0,740648379052369;0,164983164983165;0,704545454545455;37
"Grande discipline";"Pharma";"Pharmacie";"2012";46;0,457;17;0,471;428;55,8;288;0,538;25;45;0,4;22;0,5;50;375;0,499;49;0,531;1194;580;22746;1774;7,79917348105161;-38;-3,97438147043343;7,5;0,130666666666667;326;0,114485981308411;0,672897196261682;0,170138888888889;0,630606860158311;36,2040816326531
"Grande discipline";"Pharma";"Pharmacie";"2013";40;0,35;21;0,429;334;63,2;235;0,609;25;41;0,293;23;0,261;30;299;0,515;30;0,5;1197;582;22852;1779;7,78487659723438;-33;4,45130724688526;9,96666666666667;0,100334448160535;269;0,0898203592814371;0,703592814371258;0,127659574468085;0,674342105263158;59,3
"Grande discipline";"Pharma";"Pharmacie";"2014";37;0,459;18;0,611;373;60,1;279;0,599;24;38;0,368;23;0,391;53;408;0,495;49;0,551;1186;579;22736;1765;7,76301900070373;-47;-4,76925776452016;7,69811320754717;0,120098039215686;359;0,131367292225201;0,74798927613941;0,175627240143369;0,709876543209877;36,0204081632653
"Grande discipline";"Pharma";"Pharmacie";"2015";45;0,444;26;0,423;365;59,7;268;0,623;15;26;0,269;15;0,267;38;320;0,619;37;0,784;1181;578;23207;1759;7,57960960055156;-53;32,6694156869626;8,42105263157895;0,115625;283;0,101369863013699;0,734246575342466;0,138059701492537;0,704268292682927;47,5405405405405
"Grande discipline";"Pharma";"Pharmacie";"2016";25;0,44;19;0,368;311;61,4;242;0,607;16;34;0,353;15;0,467;42;339;0,478;41;0,61;1173;555;23434;1728;7,37390116924127;-84;50,7131075627303;8,07142857142857;0,12094395280236;298;0,131832797427653;0,778135048231511;0,169421487603306;0,744444444444444;42,1463414634146
"Grande discipline";"Pharma";"Pharmacie";"2017";17;0,588;10;0,5;294;59,2;225;0,564;9;21;0,333;8;0,125;32;267;0,502;31;0,516;1167;565;23727;1732;7,29970076284402;-80;74,00298297947;8,34375;0,116104868913858;236;0,105442176870748;0,76530612244898;0,137777777777778;0,737642585551331;55,8709677419355
"Grande discipline";"Pharma";"Pharmacie";"2018";42;0,571;19;0,579;271;60,9;210;0,6;12;29;0,414;12;0,25;27;218;0,569;25;0,6;1149;558;23738;1707;7,19100176931502;-105;74,8773469029656;8,07407407407407;0,114678899082569;193;0,0922509225092251;0,774907749077491;0,119047619047619;0,752032520325203;68,28
"Grande discipline";"Pharma";"Pharmacie";"2019";39;0,308;20;0,3;219;54,8;168;0,565;14;29;0,209;14;0,5;23;209;0,344;22;0,591;NA;NA;23693;NA;NA;NA;71,3004035795755;9,08695652173913;0,105263157894737;187;0,100456621004566;0,767123287671233;0,130952380952381;0,741116751269036;NA
"Grande discipline";"ST";"Sciences et techniques";"2009";1739,75001146379;0,247;1244;0,236;5428,54013864509;36,3;4206;0,372;545;1447;0,227;476;0,235;1028;5390;0,371;953;0,285;16852;7846;373156;24698;6,61867958708958;0;0;5,2431906614786;0,176808905380334;4437;0,175553643458526;0,774793939545186;0,226581074655254;0,726839643758575;25,9160545645331
"Grande discipline";"ST";"Sciences et techniques";"2010";1433,79088103102;0,235;1036;0,231;4612,83099679668;36,1;3581;0,364;470;1271;0,199;423;0,191;952;5270;0,367;890;0,3;16913;7910;374432;24823;6,62950816169558;125;84,4543515312629;5,53571428571429;0,16888045540797;4380;0,192940084000053;0,776312854836169;0,248533929070092;0,722837002892551;27,8910112359551
"Grande discipline";"ST";"Sciences et techniques";"2011";1401;0,236;1109;0,234;4852;35,9;3900;0,357;507;1384;0,204;466;0,232;878;4558;0,342;842;0,289;16920;7987;375169;24907;6,63887474711397;209;133,234020088115;5,19134396355353;0,184730144800351;3716;0,173536685902721;0,803792250618302;0,215897435897436;0,762593516209476;29,5807600950119
"Grande discipline";"ST";"Sciences et techniques";"2012";1407;0,247;1144;0,253;4691;36,6;3855;0,361;448;1302;0,194;403;0,169;774;4355;0,348;736;0,315;16995;8062;384062;25057;6,52420702907343;359;721,833195767989;5,6266149870801;0,169001148105626;3619;0,156896184182477;0,821786399488382;0,190920881971466;0,788621997471555;34,0448369565217
"Grande discipline";"ST";"Sciences et techniques";"2013";1444;0,276;1187;0,273;4740;36,3;3889;0,357;323;1100;0,21;294;0,207;639;4237;0,334;615;0,294;16974;8089;394588;25063;6,35168834328464;365;1418,51540910504;6,63067292644757;0,145149870191173;3622;0,129746835443038;0,820464135021097;0,158138338904603;0,79369696969697;40,7528455284553
"Grande discipline";"ST";"Sciences et techniques";"2014";1362;0,261;1083;0,261;4659;38,4;3824;0,384;315;1109;0,199;299;0,214;511;4028;0,345;495;0,295;16829;8069;406128;24898;6,13057952172714;200;2182,31103345518;7,8825831702544;0,122889771598808;3533;0,10624597553123;0,820776990770552;0,129445606694561;0,799471661863593;50,2989898989899
"Grande discipline";"ST";"Sciences et techniques";"2015";1297;0,265;1079;0,262;4392;37,8;3577;0,374;260;1090;0,227;247;0,267;437;3913;0,349;425;0,313;16854;8066;416569;24920;5,98220222820229;222;2873,3673691432;8,95423340961098;0,108612317914643;3488;0,0967668488160291;0,814435336976321;0,11881464914733;0,794555079405092;58,6352941176471
"Grande discipline";"ST";"Sciences et techniques";"2016";1244;0,245;1017;0,251;4165;38,2;3474;0,37;255;979;0,19;239;0,213;455;3788;0,341;443;0,325;16591;8014;423099;24605;5,8154238133392;-93;3305,56714618015;8,32527472527473;0,116948257655755;3345;0,106362545018007;0,834093637454982;0,127518710420265;0,814347125201505;55,5417607223476
"Grande discipline";"ST";"Sciences et techniques";"2017";1347;0,283;1090;0,289;3778;38;3163;0,378;251;987;0,211;237;0,245;417;3282;0,331;395;0,316;16488;8008;433637;24496;5,64896445644629;-202;4003,04360106765;7,8705035971223;0,120353443022547;2887;0,104552673372155;0,83721545791424;0,124881441669301;0,81820869051138;62,0151898734177
"Grande discipline";"ST";"Sciences et techniques";"2018";1387;0,262;1186;0,265;3730;37,4;3128;0,379;203;891;0,196;194;0,201;390;3115;0,345;370;0,3;16427;8034;451219;24461;5,42109264015921;-237;5166,73984606974;7,98717948717949;0,118780096308186;2745;0,0991957104557641;0,838605898123324;0,118286445012788;0,820833333333333;66,1108108108108
"Grande discipline";"ST";"Sciences et techniques";"2019";1356;0,271;1153;0,273;3871;36,6;3151;0,363;222;942;0,414;207;0,227;364;2719;0,474;348;0,359;NA;NA;468899;NA;NA;NA;6336,92239706718;7,46978021978022;0,127988230967267;2371;0,0898992508395763;0,814001549987083;0,110441129800063;0,795628725518024;NA
"Groupe";"1";"Droit et science politique";"2009";7,74431009957326;0,19;2;0,5;771,528379330558;47,7;265;0,434;86;75;0,347;56;0,321;149;607;0,46;140;0,4;2383;1313;NA;3696;NA;0;NA;4,0738255033557;0,230642504118616;467;0,181458004333523;0,34347407963131;0,528301886792453;0,197932514343226;26,4
"Groupe";"1";"Droit et science politique";"2010";6,08481507823613;0,273;2;0;651,475541197512;49,2;224;0,522;97;82;0,28;63;0,302;145;588;0,48;141;0,461;2385;1329;NA;3714;NA;18;NA;4,0551724137931;0,239795918367347;447;0,216431763103217;0,343834857695891;0,629464285714286;0,162593490386028;26,3404255319149
"Groupe";"1";"Droit et science politique";"2011";4;0,5;0;0;710;48,7;260;0,562;83;73;0,315;54;0,352;165;621;0,535;155;0,548;2411;1344;NA;3755;NA;59;NA;3,76363636363636;0,249597423510467;466;0,21830985915493;0,366197183098592;0,596153846153846;0,189189189189189;24,2258064516129
"Groupe";"1";"Droit et science politique";"2012";10;0,2;0;0;757;49,3;259;0,463;90;178;0,376;58;0,31;177;672;0,484;171;0,515;2430;1348;NA;3778;NA;82;NA;3,79661016949153;0,254464285714286;501;0,225891677675033;0,342140026420079;0,66023166023166;0,150170648464164;22,093567251462
"Groupe";"1";"Droit et science politique";"2013";3;0,333;0;0;723;47,7;240;0,471;65;90;0,344;55;0,4;178;639;0,498;163;0,479;2441;1346;NA;3787;NA;91;NA;3,58988764044944;0,25508607198748;476;0,225449515905947;0,33195020746888;0,679166666666667;0,1375;23,2331288343558
"Groupe";"1";"Droit et science politique";"2014";6;0,333;1;0;725;48,1;245;0,514;77;98;0,306;61;0,311;148;655;0,466;145;0,524;2443;1327;NA;3770;NA;74;NA;4,42567567567568;0,221374045801527;510;0,2;0,337931034482759;0,591836734693878;0,172413793103448;26
"Groupe";"1";"Droit et science politique";"2015";303;0,535;37;0,568;738;53,5;256;0,543;89;106;0,368;68;0,397;142;657;0,507;141;0,546;2493;1319;NA;3812;NA;116;NA;4,62676056338028;0,214611872146119;516;0,191056910569106;0,346883468834688;0,55078125;0,192629815745394;27,0354609929078
"Groupe";"1";"Droit et science politique";"2016";216;0,505;39;0,564;705;49,8;272;0,555;71;98;0,418;58;0,379;132;751;0,502;130;0,5;2442;1322;NA;3764;NA;68;NA;5,68939393939394;0,173102529960053;621;0,184397163120567;0,385815602836879;0,477941176470588;0,24695652173913;28,9538461538462
"Groupe";"1";"Droit et science politique";"2017";184;0,5;36;0,5;711;45,1;253;0,447;76;115;0,452;64;0,391;141;683;0,477;135;0,526;2421;1339;NA;3760;NA;64;NA;4,84397163120567;0,197657393850659;548;0,189873417721519;0,355836849507736;0,533596837944664;0,204861111111111;27,8518518518519
"Groupe";"1";"Droit et science politique";"2018";135;0,459;24;0,542;733;45;250;0,496;52;86;0,453;44;0,5;121;698;0,473;115;0,539;2425;1340;NA;3765;NA;69;NA;5,76859504132231;0,164756446991404;583;0,156889495225102;0,34106412005457;0,46;0,218446601941748;32,7391304347826
"Groupe";"1";"Droit et science politique";"2019";135;0,452;27;0,556;737;46,8;246;0,476;50;91;0,429;46;0,435;116;748;0,468;112;0,518;NA;NA;NA;NA;NA;NA;NA;6,44827586206897;0,149732620320856;636;0,151967435549525;0,333785617367707;0,455284552845528;0,2144;NA
"Groupe";"10";"Biologie et biochimie";"2009";419,973515009664;0,396;291;0,392;1690,41795502687;54,8;1346;0,56;96;192;0,333;80;0,4;192;1167;0,542;179;0,453;3195;1200;NA;4395;NA;0;NA;6,078125;0,153384747215081;988;0,105890971796472;0,796252782335481;0,132986627043091;0,772122625722845;24,5530726256983
"Groupe";"10";"Biologie et biochimie";"2010";300,104277666043;0,376;203;0,394;1399,11216357618;56,1;1032;0,562;75;148;0,365;63;0,333;188;1132;0,554;176;0,523;3206;1220;NA;4426;NA;31;NA;6,02127659574468;0,15547703180212;956;0,12579406039194;0,737610626843649;0,170542635658915;0,699854048950994;25,1477272727273
"Groupe";"10";"Biologie et biochimie";"2011";280;0,357;210;0,381;1426;56;1106;0,546;83;195;0,39;77;0,494;168;1174;0,534;163;0,442;3229;1224;NA;4453;NA;58;NA;6,98809523809524;0,138841567291312;1011;0,114305750350631;0,775596072931276;0,147377938517179;0,746634996041172;27,319018404908
"Groupe";"10";"Biologie et biochimie";"2012";282;0,383;210;0,39;1435;57,8;1091;0,574;62;150;0,287;54;0,296;146;1095;0,565;136;0,559;3237;1222;NA;4459;NA;64;NA;7,5;0,124200913242009;959;0,0947735191637631;0,760278745644599;0,124656278643446;0,73518090839107;32,7867647058824
"Groupe";"10";"Biologie et biochimie";"2013";290;0,4;249;0,373;1442;56,7;1142;0,547;45;113;0,381;39;0,333;99;926;0,545;94;0,585;3237;1228;NA;4465;NA;70;NA;9,35353535353535;0,101511879049676;832;0,0651872399445215;0,791955617198336;0,0823117338003503;0,777448071216617;47,5
"Groupe";"10";"Biologie et biochimie";"2014";289;0,422;235;0,413;1412;58,3;1133;0,574;51;138;0,326;45;0,4;100;1052;0,557;98;0,51;3223;1224;NA;4447;NA;52;NA;10,52;0,0931558935361217;954;0,0694050991501416;0,802407932011331;0,0864960282436011;0,787671232876712;45,3775510204082
"Groupe";"10";"Biologie et biochimie";"2015";262;0,443;216;0,435;1314;55,9;1047;0,556;50;143;0,371;47;0,468;88;970;0,561;86;0,57;3236;1231;NA;4467;NA;72;NA;11,0227272727273;0,088659793814433;884;0,0654490106544901;0,796803652968037;0,0821394460362942;0,78257328990228;51,9418604651163
"Groupe";"10";"Biologie et biochimie";"2016";250;0,436;204;0,461;1194;57,1;966;0,553;42;99;0,394;38;0,368;94;912;0,536;90;0,533;3199;1233;NA;4432;NA;37;NA;9,70212765957447;0,0986842105263158;822;0,0753768844221105;0,809045226130653;0,093167701863354;0,793478260869565;49,2444444444444
