"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2005;69;279;185;17;NA;NA;17;NA;NA;NA;NA;NA;NA
2005;70;285;101;34;NA;NA;33;NA;NA;NA;NA;NA;NA
2005;71;264;73;35;NA;NA;27;NA;NA;NA;NA;NA;NA
2005;72;83;50;4;NA;NA;4;NA;NA;NA;NA;NA;NA
2005;73;24;15;3;NA;NA;3;NA;NA;NA;NA;NA;NA
2005;74;251;116;47;NA;NA;52;NA;NA;NA;NA;NA;NA
2005;76;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA
2005;77;5;2;1;NA;NA;1;NA;NA;NA;NA;NA;NA
2005;85;183;110;19;NA;NA;19;NA;NA;NA;NA;NA;NA
2005;86;213;110;25;NA;NA;24;NA;NA;NA;NA;NA;NA
2005;87;343;169;25;NA;NA;25;NA;NA;NA;NA;NA;NA
2006;1;283;88;58;NA;NA;55;NA;NA;NA;NA;NA;NA
2006;2;228;58;72;NA;NA;68;NA;NA;NA;NA;NA;NA
2006;3;55;19;8;NA;NA;7;NA;NA;NA;NA;NA;NA
2006;4;191;73;21;NA;NA;19;NA;NA;NA;NA;NA;NA
2006;5;249;121;61;NA;NA;55;NA;NA;NA;NA;NA;NA
2006;6;273;118;137;NA;NA;126;NA;NA;NA;NA;NA;NA
2006;7;248;161;43;NA;NA;40;NA;NA;NA;NA;NA;NA
2006;8;60;39;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2006;9;265;123;37;NA;NA;36;NA;NA;NA;NA;NA;NA
2006;10;128;41;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2006;11;178;129;89;NA;NA;80;NA;NA;NA;NA;NA;NA
2006;12;69;45;21;NA;NA;20;NA;NA;NA;NA;NA;NA
2006;13;32;21;7;NA;NA;7;NA;NA;NA;NA;NA;NA
2006;14;143;85;53;NA;NA;48;NA;NA;NA;NA;NA;NA
2006;15;106;49;21;NA;NA;17;NA;NA;NA;NA;NA;NA
2006;16;267;112;60;NA;NA;57;NA;NA;NA;NA;NA;NA
2006;17;187;113;9;NA;NA;8;NA;NA;NA;NA;NA;NA
2006;18;285;164;37;NA;NA;37;NA;NA;NA;NA;NA;NA
2006;19;341;193;39;NA;NA;38;NA;NA;NA;NA;NA;NA
2006;20;227;132;14;NA;NA;12;NA;NA;NA;NA;NA;NA
2006;21;215;111;47;NA;NA;46;NA;NA;NA;NA;NA;NA
2006;22;381;243;51;NA;NA;49;NA;NA;NA;NA;NA;NA
2006;23;203;131;51;NA;NA;51;NA;NA;NA;NA;NA;NA
2006;24;143;77;13;NA;NA;12;NA;NA;NA;NA;NA;NA
2006;25;288;217;54;NA;NA;53;NA;NA;NA;NA;NA;NA
2006;26;409;284;82;NA;NA;79;NA;NA;NA;NA;NA;NA
2006;27;688;435;161;NA;NA;153;NA;NA;NA;NA;NA;NA
2006;28;544;361;71;NA;NA;70;NA;NA;NA;NA;NA;NA
2006;29;128;102;16;NA;NA;16;NA;NA;NA;NA;NA;NA
2006;30;256;213;26;NA;NA;26;NA;NA;NA;NA;NA;NA
2006;31;462;370;47;NA;NA;45;NA;NA;NA;NA;NA;NA
2006;32;478;295;59;NA;NA;59;NA;NA;NA;NA;NA;NA
2006;33;428;323;46;NA;NA;46;NA;NA;NA;NA;NA;NA
2006;34;90;74;14;NA;NA;14;NA;NA;NA;NA;NA;NA
2006;35;183;124;32;NA;NA;30;NA;NA;NA;NA;NA;NA
2006;36;179;121;13;NA;NA;12;NA;NA;NA;NA;NA;NA
2006;37;126;87;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2006;60;487;342;126;NA;NA;120;NA;NA;NA;NA;NA;NA
2006;61;492;262;83;NA;NA;77;NA;NA;NA;NA;NA;NA
2006;62;341;213;51;NA;NA;48;NA;NA;NA;NA;NA;NA
2006;63;381;208;74;NA;NA;73;NA;NA;NA;NA;NA;NA
2006;64;867;413;53;NA;NA;50;NA;NA;NA;NA;NA;NA
2006;65;794;522;48;NA;NA;45;NA;NA;NA;NA;NA;NA
2006;66;472;223;25;NA;NA;25;NA;NA;NA;NA;NA;NA
2006;67;413;206;27;NA;NA;27;NA;NA;NA;NA;NA;NA
2006;68;441;256;14;NA;NA;13;NA;NA;NA;NA;NA;NA
2006;69;226;152;18;NA;NA;16;NA;NA;NA;NA;NA;NA
2006;70;274;93;31;NA;NA;29;NA;NA;NA;NA;NA;NA
2006;71;230;60;49;NA;NA;44;NA;NA;NA;NA;NA;NA
2006;72;77;42;4;NA;NA;4;NA;NA;NA;NA;NA;NA
